24	275
25	0
26	2056
27	781
20	21
21	5903
22	1273
23	4925
28	2991
29	693
0	0
4	0
8	601
87	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
59	0
58	0
55	139
54	1380
57	4403
56	6413
51	1
50	7454
53	3461
52	0
115	0
114	0
117	0
89	189
111	0
110	0
113	0
112	0
82	0
83	0
80	0
81	0
86	0
118	0
84	0
85	0
3	3
7	766
108	0
109	0
102	0
103	0
100	0
101	1
106	0
107	0
104	0
105	0
39	547
38	3790
33	1261
32	310
31	2147
30	10
37	324
36	5277
35	230
34	89
60	92
61	0
62	20929
63	6843
64	6956
65	4566
66	2417
67	60
68	0
69	45
2	5834
6	791
99	0
98	0
91	1123
90	108
93	136
92	963
95	0
94	509
97	0
96	0
11	5
10	437
13	0
12	0
15	1281
14	0
17	68
16	28
19	421
18	0
88	301
116	0
48	11326
49	0
46	6473
47	4035
44	4779
45	741
42	3476
43	616
40	8338
41	0
1	2200
5	1189
9	659
77	6360
76	266
75	4541
74	0
73	499
72	862
71	8628
70	0
79	0
78	0
