24	274
25	0
26	2040
27	794
20	21
21	5864
22	1283
23	4980
28	2977
29	682
0	0
4	0
8	576
87	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
59	0
58	0
55	129
54	1373
57	4406
56	6329
51	2
50	7403
53	3457
52	0
115	0
114	0
117	0
89	181
111	0
110	0
113	0
112	0
82	0
83	0
80	0
81	0
86	0
118	0
84	0
85	0
3	3
7	776
108	0
109	0
102	0
103	0
100	0
101	1
106	0
107	0
104	0
105	0
39	546
38	3784
33	1262
32	289
31	2166
30	7
37	338
36	5292
35	243
34	100
60	98
61	0
62	21002
63	6775
64	7060
65	4461
66	2469
67	56
68	0
69	38
2	5770
6	802
99	0
98	0
91	1141
90	122
93	148
92	976
95	0
94	506
97	0
96	0
11	7
10	425
13	0
12	0
15	1235
14	0
17	77
16	25
19	422
18	0
88	318
116	0
48	11307
49	0
46	6349
47	4087
44	4836
45	743
42	3476
43	636
40	8380
41	0
1	2176
5	1201
9	647
77	6444
76	269
75	4557
74	0
73	499
72	875
71	8581
70	0
79	0
78	0
